6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,timestamp
(5-28j),(2-30j),-33j,(1-31j),(1-30j),-30j,(-1-31j),(-3-29j),(-2-30j),(-4-28j),(-3-27j),(-5-24j),(-3-18j),(-2-16j),(-2-12j),-10j,-6j,(2-3j),(2+0j),(4+6j),(8+6j),(9+9j),(10+11j),(12+14j),(15+16j),(15+15j),(13+16j),(12+18j),(10+19j),(11+21j),(13+19j),(14+18j),(12+13j),(8+12j),(1+14j),(-1+14j),(-5+14j),(-8+18j),(-10+18j),(-11+21j),(-9+19j),(-10+20j),(-11+22j),(-8+20j),(-8+19j),(-8+18j),(-7+17j),(-7+16j),(-7+13j),(-8+13j),(-6+11j),(-6+8j),1697893805.072499
(-26+14j),(-28+17j),(-26+19j),(-25+18j),(-25+16j),(-25+17j),(-24+18j),(-23+17j),(-23+19j),(-21+18j),(-20+18j),(-15+18j),(-13+13j),(-12+10j),(-9+8j),(-7+6j),(-5+2j),(-4-1j),(-2-4j),-8j,(-1-12j),(-1-14j),-15j,-18j,(-1-22j),(-1-21j),-24j,(2-23j),(3-26j),(4-25j),(1-25j),(-1-22j),(-1-20j),(2-16j),(4-13j),(9-12j),(14-15j),(17-12j),(15-14j),(25-17j),(17-15j),(19-16j),(15-20j),(16-15j),(12-18j),(17-14j),(17-11j),(15-8j),(11-10j),(10-4j),(7-10j),(5-7j),1697893805.1037617
(17-10j),(21-9j),(25-15j),(25-15j),(24-17j),(17-17j),(27-16j),(21-14j),(22-14j),(20-15j),(28-21j),(19-20j),(18-14j),(20-14j),(13-14j),(16-8j),(5-7j),(7-7j),(5-3j),(-6-9j),(-6+0j),(-9+7j),(-10-4j),(-7+13j),(-19+2j),(-14+6j),(-10+7j),(-19+3j),(-21+1j),(-19-1j),(-23+6j),(-20+7j),(-19+10j),(-9+6j),(-17-2j),(-8-2j),(-5-3j),(-11-4j),(-5-16j),(-14-13j),(-9-14j),(-11-17j),(-10-22j),(-9-20j),(-8-17j),(-9-19j),(-8-16j),(-6-18j),(-6-14j),(-5-17j),(-7-15j),(-5-13j),1697893809.1003253
(-20+16j),(-21+17j),(-19+16j),(-17+15j),(-19+16j),(-18+14j),(-21+11j),(-20+10j),(-18+7j),(-20+6j),(-22+4j),(-19+5j),(-18+4j),(-18+5j),(-18+7j),(-18+7j),(-14+10j),(-11+14j),(-9+12j),(-7+14j),(-5+13j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-17+9j),(-17+12j),(-19+15j),(-17+16j),(-18+18j),(-17+21j),(-17+20j),(-16+20j),(-15+18j),(-14+19j),(-14+18j),(-16+19j),(-13+22j),(-10+18j),(-11+20j),(-10+21j),(-10+21j),(-12+22j),(-12+24j),(-13+26j),(-16+27j),1697893809.1159513
(-11-23j),(-11-25j),(-13-27j),(-14-27j),(-16-26j),(-17-22j),(-16-22j),(-16-20j),(-17-21j),(-20-18j),(-19-17j),(-19-15j),(-15-12j),(-13-11j),(-10-10j),(-9-12j),(-7-9j),(-5-9j),(-3-8j),(1-8j),(5-7j),(6-10j),(7-10j),(8-11j),(11-11j),(11-11j),(14-10j),(15-10j),(17-10j),(19-11j),(16-11j),(13-12j),(14-12j),(11-11j),(14-4j),(14-6j),(15-3j),(16-3j),(19-3j),(19-2j),(22-1j),(21-2j),(23+0j),(22-1j),(22+1j),(21-2j),(18-3j),(21-3j),(19-3j),(17+0j),(14-4j),(13+0j),1697893811.1897595
(24+8j),(23+7j),(30+6j),(30+3j),(30+2j),(28-2j),(25-1j),(24+0j),(27-4j),(26-4j),(23-4j),(20-6j),(22-1j),(15-3j),(17+0j),(15+0j),(12-1j),(7+2j),(4+2j),(6+7j),(2+9j),(4+12j),(1+11j),(1+9j),(2+14j),13j,(-1+17j),(-2+17j),(-3+17j),(-5+19j),(-3+20j),(-2+20j),(-1+19j),(-2+14j),(-3+15j),(-8+14j),(-13+12j),(-12+12j),(-14+12j),(-15+14j),(-14+17j),(-17+16j),(-15+19j),(-13+17j),(-13+13j),(-13+18j),(-9+11j),(-14+12j),(-13+20j),(-18+15j),(-13+13j),(-12+9j),1697893811.2007647
(-14+22j),(-18+20j),(-18+35j),(-14+28j),(-19+29j),(-12+25j),(-12+29j),(-10+26j),(-11+29j),(-7+27j),(-6+27j),(-3+27j),(-3+22j),(-3+19j),(-4+15j),(-6+14j),(-4+11j),(-5+8j),(-6+4j),(-7+1j),(-10-2j),(-12-2j),(-12-4j),(-13-6j),(-16-7j),(-17-7j),(-16-9j),(-16-12j),(-15-13j),(-19-17j),(-18-13j),(-20-12j),(-18-10j),(-15-10j),(-11-12j),(-11-14j),(-8-16j),(-7-18j),(-7-20j),(-8-22j),(-8-23j),(-7-24j),(-9-26j),(-9-22j),(-9-23j),(-9-23j),(-9-20j),(-7-19j),(-7-18j),(-6-17j),(-5-16j),(-3-15j),1697893811.2281697
(-22-12j),(-24-13j),(-25-12j),(-28-4j),(-28-10j),(-27-8j),(-26-9j),(-29-8j),(-28-11j),(-29-6j),(-28-6j),(-30-6j),(-21-8j),(-20-7j),(-17-1j),(-23-5j),(-16-7j),(-13+0j),(-9+1j),(-8+3j),(2-4j),(-1-4j),(7-2j),(6-2j),(11-8j),(11-9j),(11-5j),(14-7j),(14-7j),(16-6j),(16-3j),(19-3j),(17-8j),(11-5j),(10-5j),(11-3j),(13+3j),(13+7j),(10+11j),(14+10j),(17+11j),(10+11j),(15+15j),(16+15j),(16+17j),(19+16j),(17+18j),(16+16j),(16+16j),(15+15j),(15+13j),(13+12j),1697893812.082769
(20+9j),(23+11j),(28+12j),(29+10j),(28+10j),(28+9j),(29+9j),(28+8j),(31+9j),(29+6j),(29+8j),(28+7j),(24+6j),(22+7j),(20+4j),(19+6j),(16+3j),(11+2j),(9+2j),(4-1j),0j,(-4+3j),(-6+5j),(-9+4j),(-14+7j),(-13+8j),(-14+6j),(-19+6j),(-19+3j),(-20+5j),(-20+6j),(-23+9j),(-19+6j),(-16+6j),(-10+5j),(-12-3j),(-12-4j),(-11-8j),(-19-11j),(-18-15j),(-19-12j),(-16-20j),(-18-20j),(-17-20j),(-21-20j),(-21-20j),(-16-18j),(-19-18j),(-19-20j),(-21-18j),(-14-14j),(-18-16j),1697893812.102532
(14-19j),(13-20j),(14-26j),(14-23j),(16-27j),(11-22j),(16-24j),(14-26j),(12-26j),(13-25j),(13-25j),(10-25j),(6-21j),(13-17j),(7-20j),(7-14j),(7-13j),(7-12j),(3-9j),(3-2j),(4-3j),(-5+2j),(4+8j),(5+9j),(1+10j),(4+14j),(-2+14j),(3+19j),18j,(3+14j),18j,(1+21j),(6+15j),(2+15j),(-2+13j),(-2+5j),(-13+7j),(-9+11j),(-12+12j),(-18+9j),(-16+13j),(-20+9j),(-22+15j),(-22+10j),(-25+13j),(-23+13j),(-22+9j),(-21+10j),(-23+9j),(-22+11j),(-17+10j),(-19+6j),1697893812.1125386
